sample,group,factor
A_AXH,Water,W
A_BTH,Water,W
A_CH,Water,W
A_CJH,Water,W
A_DCDH,Water,W
A_DCXH,Water,W
A_DCXM,Water,W
A_DZH,Water,W
A_JSH,Water,W
A_JXH,Water,W
A_LHC,Water,W
A_MYH,Water,W
A_NXH,Water,W
A_PYH1,Water,W
A_PYH2,Water,W
A_PYH3,Water,W
A_QLH,Water,W
A_QSH,Water,W
A_SH,Water,W
A_SXH,Water,W
A_XH,Water,W
A_XMH,Water,W
A_XZH,Water,W
A_YFH,Water,W
A_YH,Water,W
A_YNH,Water,W
A_YQH,Water,W
A_ZH,Water,W
C_AXH,Water,D
C_BTH,Water,D
C_CH,Water,D
C_CJH,Water,D
C_DCDH,Water,D
C_DCXH,Water,D
C_DCXM,Water,D
C_DZH,Water,D
C_JSH,Water,D
C_JXH,Water,D
C_LHC,Water,D
C_MYH,Water,D
C_NXH,Water,D
C_PYH1,Water,D
C_PYH2,Water,D
C_PYH3,Water,D
C_QLH,Water,D
C_QSH,Water,D
C_SH,Water,D
C_SXH,Water,D
C_XH,Water,D
C_XMH,Water,D
C_XZH,Water,D
C_YFH,Water,D
C_YH,Water,D
C_YNH,Water,D
C_YQH,Water,D
C_ZH,Water,D
